COD_IBGE;POP;IDH municipal;IDH renda;IDH longevidade;IDH educacao
4106902;1871789;0,823;0,85;0,855;0,768
4115200;454146;0,808;0,806;0,852;0,768
4120853;4051;0,791;0,79;0,838;0,748
4104808;350644;0,782;0,776;0,846;0,728
4118501;94239;0,782;0,778;0,845;0,728
4113700;588125;0,778;0,789;0,837;0,712
4108403;96622;0,774;0,758;0,844;0,726
4114609;56530;0,774;0,782;0,842;0,704
4117909;35063;0,768;0,76;0,864;0,689
4127700;156123;0,768;0,755;0,855;0,702
4107207;44828;0,767;0,747;0,85;0,711
4111605;2786;0,766;0,718;0,837;0,748
4115804;54390;0,763;0,762;0,849;0,686
4118402;90969;0,763;0,75;0,844;0,703
4119905;391654;0,763;0,755;0,837;0,703
4126355;5034;0,762;0,778;0,859;0,662
4107538;4511;0,761;0,778;0,826;0,686
4128104;117148;0,761;0,755;0,836;0,698
4122305;31406;0,76;0,721;0,863;0,705
4106407;44599;0,759;0,746;0,848;0,692
4110003;5478;0,758;0,714;0,833;0,732
4115358;6639;0,758;0,736;0,866;0,684
4117107;12911;0,758;0,735;0,856;0,691
4125506;327746;0,758;0,749;0,859;0,678
4104303;99170;0,757;0,749;0,841;0,689
4105508;82232;0,755;0,747;0,841;0,685
4107405;5995;0,752;0,767;0,835;0,664
4120358;5705;0,752;0,743;0,821;0,696
4108304;286323;0,751;0,748;0,858;0,661
4114203;36827;0,751;0,732;0,84;0,689
4119152;131048;0,751;0,761;0,836;0,666
4118204;157043;0,75;0,733;0,852;0,676
4101408;135969;0,748;0,741;0,845;0,668
4101507;118573;0,748;0,751;0,834;0,669
4103453;18262;0,748;0,723;0,835;0,692
4116000;1965;0,748;0,694;0,854;0,707
4102109;25477;0,747;0,754;0,818;0,675
4112108;23006;0,747;0,741;0,801;0,703
4118451;5976;0,747;0,745;0,807;0,694
4107306;6290;0,746;0,704;0,839;0,702
4111100;6734;0,746;0,691;0,854;0,703
4118006;13246;0,746;0,752;0,825;0,668
4104204;144165;0,745;0,73;0,854;0,664
4107801;6569;0,745;0,739;0,853;0,656
4102703;3022;0,744;0,678;0,813;0,747
4113601;4600;0,744;0,708;0,841;0,692
4123501;24917;0,744;0,738;0,823;0,678
4111803;40356;0,743;0,734;0,844;0,663
4112009;35527;0,743;0,698;0,859;0,684
4115705;39212;0,743;0,743;0,834;0,662
4125308;5159;0,743;0,727;0,81;0,696
4103222;3540;0,742;0,704;0,836;0,695
4120804;26452;0,742;0,74;0,831;0,665
4101804;166699;0,74;0,743;0,852;0,639
4105409;21646;0,74;0,74;0,817;0,671
4115853;5945;0,74;0,708;0,843;0,68
4122701;8819;0,74;0,71;0,843;0,676
4128203;55238;0,74;0,713;0,837;0,68
4122404;71344;0,739;0,744;0,821;0,661
4124509;6184;0,739;0,746;0,843;0,641
4128005;24733;0,739;0,706;0,854;0,669
4106308;17466;0,738;0,728;0,807;0,683
